date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:39	84/84	---M--	200	added ('OK')	text/plain	etag:%2254-5684d7bd6d2c0%22	https://bullbull.in/robots.txt		(from )
10:22:40	32703/32703	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2004:52:41%20GMT	https://bullbull.in/	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/index.html	(from )
10:22:40	1683/1683	---M--	200	added ('OK')	text/css	etag:%22693-56cc7168a3000%22	https://bullbull.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.2	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/plugins/contact-form-7/includes/css/stylesce52.css	(from https://bullbull.in/)
10:22:40	1129/1129	---M--	200	added ('OK')	text/css	etag:%22469-567d92b9fa440%22	https://bullbull.in/wp-content/plugins/google-captcha/css/gglcptch.css?ver=1.36	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/plugins/google-captcha/css/gglcptch4a16.css	(from https://bullbull.in/)
10:22:41	1410/1410	---M--	200	added ('OK')	text/css	etag:%22582-56cf13617c980%22	https://bullbull.in/wp-content/plugins/kk-star-ratings/css.css?ver=2.6.1	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/plugins/kk-star-ratings/cssc141.css	(from https://bullbull.in/)
10:22:42	12025/12025	---M--	200	added ('OK')	text/css	etag:%222ef9-55fcd52b3c200%22	https://bullbull.in/wp-content/plugins/pg-simple-affiliate-shop/css/pg-sas.css?ver=4.9.6	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/plugins/pg-simple-affiliate-shop/css/pg-sas1845.css	(from https://bullbull.in/)
10:22:42	7387/7387	---MC-	200	added ('OK')	application/rss+xml	etag:%22661f1f7e07dd7db1dc11c1b157623179%22	https://bullbull.in/comments/feed/	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/comments/feed/index.html	(from https://bullbull.in/)
10:22:42	827/827	---M--	200	added ('OK')	text/css	etag:%2233b-5529f139eb880%22	https://bullbull.in/wp-content/plugins/tipso/src/tipso.min.css?ver=4.9.6	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/plugins/tipso/src/tipso.min1845.css	(from https://bullbull.in/)
10:22:43	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-56994d816c340%22	https://bullbull.in/wp-content/themes/mh-newsdesk-lite/includes/font-awesome.min.css	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/themes/mh-newsdesk-lite/includes/font-awesome.min.css	(from https://bullbull.in/)
10:22:43	2642/2642	---M--	200	added ('OK')	text/css	etag:%22a52-569956e5a2b80%22	https://bullbull.in/wp-content/themes/mh-newsdesk-lite/css/dygraph.css?ver=4.9.6	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/themes/mh-newsdesk-lite/css/dygraph1845.css	(from https://bullbull.in/)
10:22:43	5871/5871	---M--	200	added ('OK')	text/css	etag:%2216ef-55f838992b140%22	https://bullbull.in/wp-content/plugins/tablepress/css/default.min.css?ver=1.9	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/plugins/tablepress/css/default.min3aa8.css	(from https://bullbull.in/)
10:22:43	30978/30978	---M--	200	added ('OK')	text/css	etag:%227902-56b5bcb538e40%22	https://bullbull.in/wp-content/themes/mh-newsdesk-lite/style.css?ver=4.9.6	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/themes/mh-newsdesk-lite/style1845.css	(from https://bullbull.in/)
10:22:44	112747/112747	---MC-	200	added ('OK')	application/rss+xml	etag:%226ebfd0d8a889d2b151c63e82dbe8fbef%22	https://bullbull.in/feed/	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/feed/index.html	(from https://bullbull.in/)
10:22:44	1401/1401	---M--	200	added ('OK')	text/css	etag:%22579-56b338c3f0e00%22	https://bullbull.in/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.14	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-content/plugins/add-to-any/addtoany.mind50e.css	(from https://bullbull.in/)
10:22:44	10056/10056	---M--	200	added ('OK')	application/x-javascript	etag:%222748-550e2882c7840%22	https://bullbull.in/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Prachi%20Mishra/Desktop/RAKESH_ARCHIEVE/BULLBULL/bullbull.in/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://bullbull.in/)
